編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLTKQHJGFAT47CB,大埔段一小段,26.39,都市：住,10000,337,持分移轉,01170000
RPPNMLRKQHJGFAT17CB,廣興段,22.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,10703,持分移轉,10110000
RPQNMLLLQHJGFAT76CB,公興段,9.97,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1589,持分移轉,05190000
RPQNMLLLQHJGFAT76CB,公興段,10.01,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1589,持分移轉,05220000
RPQNMLLLQHJGFAT76CB,公興段,1.02,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1589,持分移轉,05270000
RPRNMLKLQHJGFAT76CB,香揚段一小段,73.06,都市：住,100000,433,持分移轉,00120000
RPPNMLTKQHJGFAT37CB,大埔段一小段,26.39,都市：住,10000,337,持分移轉,01170000
RPPNMLKLQHJGFAT56CB,忠孝段,.18,都市：住,1000000,25041,持分移轉,00230001
RPPNMLKLQHJGFAT56CB,忠孝段,38.20,都市：住,1000000,25041,持分移轉,00190000
RPPNMLKLQHJGFAT56CB,豐年段,5.83,都市：住,1000000,25041,持分移轉,09660000
RPRNMLRLQHJGFCT67CB,新五魁段,2.43,都市：住,100000,928,持分移轉,11190000
RPRNMLRLQHJGFCT67CB,新五魁段,1.76,都市：住,100000,928,持分移轉,11200000
RPRNMLRLQHJGFCT67CB,新五魁段,12.45,都市：住,100000,928,持分移轉,11210000
RPQNMLLLQHJGFCT96CB,新豐段,23.50,非都市：工業區 ; 非都市編定：丁種建築用地,100000,1159,持分移轉,00440000
RPRNMLLLQHJGFCT07CB,新豐段,20.46,非都市：工業區 ; 非都市編定：丁種建築用地,100000,1009,持分移轉,00440000
RPPNMLMLQHJGFAT76CB,廣興段,21.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,10378,持分移轉,10110000
RPQNMLNLQHJGFAT96CB,清溪段,32.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4364,持分移轉,18990011
RPPNMLPLQHJGFET47CB,德和段,109.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00880006
RPPNMLPLQHJGFET47CB,德和段,49.27,非都市：一般農業區 ; 非都市編定：甲種建築用地,11,1,持分移轉,00880012
RPPNMLPLQHJGFET47CB,德和段,40.47,非都市：一般農業區 ; 非都市編定：農牧用地,3168,67,持分移轉,00890000
RPPNMLSLQHJGFCT57CB,新五魁段,2.36,都市：住,100000,900,持分移轉,11190000
RPPNMLSLQHJGFCT57CB,新五魁段,1.70,都市：住,100000,900,持分移轉,11200000
RPPNMLSLQHJGFCT57CB,新五魁段,12.07,都市：住,100000,900,持分移轉,11210000
RPQNMLRLQHJGFCT67DB,美和段,29.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,226,持分移轉,09410000
RPSOMLRLQHJGFCT87CB,新五魁段,3.25,都市：住,100000,1239,持分移轉,11190000
RPRNMLTLQHJGFAT67CB,忠孝段,.18,都市：住,1000000,24365,持分移轉,00230001
RPRNMLTLQHJGFAT67CB,忠孝段,37.17,都市：住,1000000,24365,持分移轉,00190000
RPRNMLTLQHJGFAT67CB,豐年段,5.67,都市：住,1000000,24365,持分移轉,09660000
RPSOMLRLQHJGFCT87CB,新五魁段,2.34,都市：住,100000,1239,持分移轉,11200000
RPSOMLRLQHJGFCT87CB,新五魁段,16.62,都市：住,100000,1239,持分移轉,11210000
RPRNMLSLQHJGFCT77CB,新五魁段,3.25,都市：住,100000,1239,持分移轉,11190000
RPRNMLSLQHJGFCT77CB,新五魁段,2.34,都市：住,100000,1239,持分移轉,11200000
RPRNMLSLQHJGFCT77CB,新五魁段,16.62,都市：住,100000,1239,持分移轉,11210000
RPPNMLMLQHJGFCT96CB,新豐段,30.29,非都市：工業區 ; 非都市編定：丁種建築用地,100000,1494,持分移轉,00440000
RPTNMLSLQHJGFCT97CB,新五魁段,2.34,都市：住,100000,892,持分移轉,11190000
RPTNMLSLQHJGFCT97CB,新五魁段,1.69,都市：住,100000,892,持分移轉,11200000
RPTNMLSLQHJGFCT97CB,新五魁段,11.96,都市：住,100000,892,持分移轉,11210000
RPPNMLRLQHJGFCT47CB,新五魁段,2.43,都市：住,100000,928,持分移轉,11190000
RPPNMLRLQHJGFCT47CB,新五魁段,1.76,都市：住,100000,928,持分移轉,11200000
RPPNMLRLQHJGFCT47CB,新五魁段,12.45,都市：住,100000,928,持分移轉,11210000
RPUNMLSLQHJGFCT08CB,新五魁段,2.34,都市：住,100000,892,持分移轉,11190000
RPUNMLSLQHJGFCT08CB,新五魁段,1.69,都市：住,100000,892,持分移轉,11200000
RPUNMLSLQHJGFCT08CB,新五魁段,11.96,都市：住,100000,892,持分移轉,11210000
RPTNMLTLQHJGFAT87CB,公興段,9.97,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1589,持分移轉,05190000
RPTNMLTLQHJGFAT87CB,公興段,10.01,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1589,持分移轉,05220000
RPTNMLTLQHJGFAT87CB,公興段,1.02,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1589,持分移轉,05270000
RPPNMLTLQHJGFCT67CB,新豐段,20.19,非都市：工業區 ; 非都市編定：丁種建築用地,100000,996,持分移轉,00440000
RPSNMLTLQHJGFAT77CB,公興段,9.97,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1589,持分移轉,05190000
RPSNMLTLQHJGFAT77CB,公興段,10.01,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1589,持分移轉,05220000
RPSNMLTLQHJGFAT77CB,公興段,1.02,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1589,持分移轉,05270000
RPQNMLKMQHJGFAT76CB,崑崙段,111.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00600005
RPQNMLRLQHJGFCT57CB,新五魁段,2.43,都市：住,100000,928,持分移轉,11190000
RPQNMLRLQHJGFCT57CB,新五魁段,1.76,都市：住,100000,928,持分移轉,11200000
RPQNMLRLQHJGFCT57CB,新五魁段,12.45,都市：住,100000,928,持分移轉,11210000
RPPNMLKMQHJGFCT86CB,美和段,27.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,209,持分移轉,09410000
RPWNMLRLQHJGFCT18CB,新五魁段,3.25,都市：住,100000,1239,持分移轉,11190000
RPWNMLRLQHJGFCT18CB,新五魁段,2.34,都市：住,100000,1239,持分移轉,11200000
RPWNMLRLQHJGFCT18CB,新五魁段,16.62,都市：住,100000,1239,持分移轉,11210000
RPPNMLKMQHJGFAT66CB,明正段,20.16,都市：住,100000,1818,持分移轉,18550000
RPSNMLRLQHJGFCT77CB,新五魁段,3.32,都市：住,100000,1266,持分移轉,11190000
RPSNMLRLQHJGFCT77CB,新五魁段,2.39,都市：住,100000,1266,持分移轉,11200000
RPSNMLRLQHJGFCT77CB,新五魁段,16.98,都市：住,100000,1266,持分移轉,11210000
RPPNMLLJRHJGFAT56CB,潭頭段,18.48,都市：商,10000,373,持分移轉,03300000
RPVNMLRLQHJGFCT08CB,新五魁段,3.25,都市：住,100000,1239,持分移轉,11190000
RPVNMLRLQHJGFCT08CB,新五魁段,2.34,都市：住,100000,1239,持分移轉,11200000
RPVNMLRLQHJGFCT08CB,新五魁段,16.62,都市：住,100000,1239,持分移轉,11210000
RPPNMLLMQHJGFCT07DB,美和段,21.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,168,持分移轉,09410000
RPQNMLLMQHJGFCT17DB,美和段,22.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,172,持分移轉,09410000
RPSNMLKLQHJGFAT86CB,香揚段一小段,26.49,都市：住,100000,157,持分移轉,00120000
RPQNMLMJRHJGFAT76CB,新歸來段,9.84,都市：農,100000,1654,持分移轉,07910000
RPQNMLMJRHJGFAT76CB,新歸來段,22.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1654,持分移轉,07900000
RPSNMLNJRHJGFCT27CB,美和段,27.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,208,持分移轉,09410000
RPPNMLMJRHJGFAT66CB,新歸來段,9.84,都市：農,100000,1654,持分移轉,07910000
RPPNMLMJRHJGFAT66CB,新歸來段,22.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1654,持分移轉,07900000
RPPNMLQJRHJGFDT37CB,龍帝段,90.90,都市：住,1,1,全筆移轉,07900006
RPPNMLNJRHJGFDT17DB,新孝段,64.51,都市：住,100000,9453,持分移轉,10830000
RPQNMLNJRHJGFCT07CB,新五魁段,2.36,都市：住,100000,900,持分移轉,11190000
RPQNMLNJRHJGFCT07CB,新五魁段,1.70,都市：住,100000,900,持分移轉,11200000
RPPNMLSJRHJGFAT27CB,潭頭段,21.12,都市：商,100000,3427,持分移轉,03550000
RPQNMLNJRHJGFCT07CB,新五魁段,12.07,都市：住,100000,900,持分移轉,11210000
RPPNMLNJRHJGFCT96CB,新五魁段,2.43,都市：住,100000,928,持分移轉,11190000
RPPNMLNJRHJGFCT96CB,新五魁段,1.76,都市：住,100000,928,持分移轉,11200000
RPPNMLTJRHJGFDT67CB,頂安段,143.97,都市：住,1,1,全筆移轉,06370005
RPPNMLNJRHJGFCT96CB,新五魁段,12.45,都市：住,100000,928,持分移轉,11210000
RPPNMLKKRHJGFDT86CB,新義段,26.12,都市：住,100000,656,持分移轉,00070010
RPPNMLLKRHJGFCT96DB,美和段,27.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,209,持分移轉,09410000
RPPNMLLKRHJGFET07CB,德和段,109.72,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00880007
RPPNMLLKRHJGFET07CB,德和段,49.27,非都市：一般農業區 ; 非都市編定：甲種建築用地,11,1,持分移轉,00880012
RPPNMLLKRHJGFET07CB,德和段,40.47,非都市：一般農業區 ; 非都市編定：農牧用地,3168,67,持分移轉,00890000
