編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLMKQHJGFAG38CB,猴猴段,61.42,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10560019
RPPNMLPKQHJGFAG28CB,永愛段,26.50,都市：住,100000,2241,持分移轉,09180000
RPTNMLMKQHJGFAG38CB,猴猴段,13.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10560032
RPSOMLNKQHJGFAG48CB,補城一段,36.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,869,持分移轉,03460000
RPPNMLPKQHJGFAG28CB,永愛段,5.54,都市：住,100000,1326,持分移轉,09180001
RPPNMLPKQHJGFAG28CB,永愛段,3.28,都市：住,100000,1326,持分移轉,09180018
RPSNMLTKQHJGFBG09CB,武營段,34.14,都市：住,113974,6421,持分移轉,05350000
RPQNMLOKQHJGFAG28CB,丸山段,38.44,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,3620,持分移轉,00620000
RPPNMLPKQHJGFBG38CB,茄苳林段,68.54,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03190003
RPPNMLPKQHJGFBG38CB,茄苳林段,52.05,非都市：特定農業區 ; 非都市編定：農牧用地,83547,5205,持分移轉,03210000
RPPNMLPKQHJGFBG38CB,茄苳林段,19.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03190012
RPUNMLLLQHJGFBG58CB,新生段,70.76,都市：住,1,1,全筆移轉,05490005
RPPNMLMLQHJGFBG28DB,壯東段,65.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05300021
RPPNMLMLQHJGFBG28DB,壯東段,17.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05300022
RPPNMLMLQHJGFBG28DB,壯東段,43.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05300023
RPRNMLTKQHJGFAG88CB,東光段,12.90,都市：商,10000,1194,持分移轉,08580000
RPRNMLTKQHJGFAG88CB,東光段,2.51,都市：商,10000,1194,持分移轉,08580003
RPRNMLTKQHJGFAG88CB,東光段,10.15,都市：商,10000,1194,持分移轉,08580004
RPRNMLTKQHJGFAG88CB,東光段,1.43,都市：住,10000,1194,持分移轉,08580005
RPPNMLTKQHJGFAG68CB,十六份新段,26.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4081,持分移轉,00590000
RPPNMLTKQHJGFAG68CB,十六份新段,.46,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4081,持分移轉,00590003
RPPNMLTKQHJGFAG68CB,十六份新段,17.81,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4081,持分移轉,00600000
RPPNMLTKQHJGFAG68CB,十六份新段,.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4081,持分移轉,00600001
RPPNMLKLQHJGFAG87CB,鹿得一段,89.76,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02750009
RPQNMLNLQHJGFBG38CB,新洲子段,38.69,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1804,持分移轉,01130000
RPQNMLNLQHJGFBG38CB,新洲子段,2.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,56,1,持分移轉,01130001
RPPNMLNLQHJGFBG28CB,新生段,70.76,都市：住,1,1,全筆移轉,05490007
RPSNMLPKQHJGFBG68CB,新生段,41.76,都市：住,100000,1554,持分移轉,00590000
RPPNMLQLQHJGFBG68DB,壯濱一段,91.32,非都市：一般農業區 ; 非都市編定：甲種建築用地,1000000,34258,持分移轉,01480000
RPPNMLOLQHJGFAG28CB,永愛段,26.03,都市：住,100000,2201,持分移轉,09180000
RPTNMLQLQHJGFAG88CB,新隆恩段,57.55,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04010030
RPPNMLOLQHJGFAG28CB,永愛段,5.44,都市：住,100000,1302,持分移轉,09180001
RPTNMLQLQHJGFAG88CB,新隆恩段,14.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04010029
RPTNMLQLQHJGFAG88CB,新隆恩段,.74,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,5555,持分移轉,04010018
RPPNMLOLQHJGFAG28CB,永愛段,3.22,都市：住,100000,1302,持分移轉,09180018
RPTNMLQLQHJGFAG88CB,新隆恩段,31.84,非都市：特定農業區 ; 非都市編定：農牧用地,100000,5555,持分移轉,03610002
RPPNMLQLQHJGFAG48CB,協和一段,39.19,非都市：特定農業區 ; 非都市編定：甲種建築用地,70147,4171,持分移轉,02070000
RPPNMLQLQHJGFAG48CB,協和一段,2.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,70147,4171,持分移轉,02090001
RPSNMLQLQHJGFAG78CB,補城一段,46.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,1120,持分移轉,03460000
RPRNMLQLQHJGFAG68CB,協和一段,39.19,非都市：特定農業區 ; 非都市編定：甲種建築用地,70147,4171,持分移轉,02070000
RPRNMLQLQHJGFAG68CB,協和一段,2.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,70147,4171,持分移轉,02090001
RPQNMLQLQHJGFAG58CB,補城一段,32.30,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,773,持分移轉,03460000
RPUNMLKLQHJGFAG38CB,國民一段,51.91,非都市：特定農業區 ; 非都市編定：甲種建築用地,213953,5191,持分移轉,04480000
RPUNMLKLQHJGFAG38CB,國民一段,.15,非都市：特定農業區 ; 非都市編定：甲種建築用地,615,15,持分移轉,04480001
RPRNMLKLQHJGFAG08CB,國民一段,39.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,213953,3938,持分移轉,04480000
RPRNMLKLQHJGFAG08CB,國民一段,.11,非都市：特定農業區 ; 非都市編定：甲種建築用地,615,11,持分移轉,04480001
RPVNMLKLQHJGFAG48CB,國民一段,51.90,非都市：特定農業區 ; 非都市編定：甲種建築用地,213953,5190,持分移轉,04480000
RPVNMLKLQHJGFAG48CB,國民一段,.15,非都市：特定農業區 ; 非都市編定：甲種建築用地,615,15,持分移轉,04480001
RPPNMLRKQHJGFAG48CB,永愛段,19.57,都市：住,100000,1655,持分移轉,09180000
RPPNMLRKQHJGFAG48CB,永愛段,4.09,都市：住,100000,979,持分移轉,09180001
RPPNMLRKQHJGFAG48CB,永愛段,2.42,都市：住,100000,979,持分移轉,09180018
RPQNMLRLQHJGFAG68CB,季寶段,65.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06620049
RPQNMLRLQHJGFAG68CB,季寶段,13.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06620048
RPQNMLRLQHJGFAG68CB,季寶段,.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06710002
RPQNMLRLQHJGFAG68CB,季寶段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620068
RPQNMLRLQHJGFAG68CB,季寶段,1.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620028
RPQNMLRLQHJGFAG68CB,季寶段,1.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620029
RPQNMLRLQHJGFAG68CB,季寶段,.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620038
RPQNMLRLQHJGFAG68CB,季寶段,.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620018
RPQNMLRLQHJGFAG68CB,季寶段,.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620019
RPQNMLQLQHJGFBG78DB,阿蘭城段,26.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,8700,持分移轉,00970000
RPQNMLQLQHJGFBG78DB,阿蘭城段,13.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,8700,持分移轉,00980000
RPQNMLMLQHJGFBG28CB,新打馬煙段,58.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04330000
RPQNMLMLQHJGFBG28CB,新打馬煙段,21.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04330002
RPPNMLTKQHJGFAG78DB,珍珠二段,25.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,445,持分移轉,05920000
RPPNMLTKQHJGFAG78DB,珍珠二段,.55,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,445,持分移轉,05920001
RPPNMLRLQHJGFBG68CB,新生段,35.99,都市：住,10000,314,持分移轉,05490000
RPPNMLRLQHJGFBG68CB,新生段,3.72,都市：住,10000,314,持分移轉,05490001
RPPNMLRLQHJGFBG68CB,新生段,.13,都市：住,10000,314,持分移轉,05490009
RPQNMLMLQHJGFBG38DB,壯東段,62.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05300001
RPQNMLMLQHJGFBG38DB,壯東段,15.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05300002
RPSNMLRLQHJGFAG88CB,季寶段,65.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06620076
RPSNMLRLQHJGFAG88CB,季寶段,29.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06620075
RPSNMLRLQHJGFAG88CB,季寶段,7.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06620074
RPSNMLRLQHJGFAG88CB,季寶段,.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06710002
RPSNMLRLQHJGFAG88CB,季寶段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620068
RPSNMLRLQHJGFAG88CB,季寶段,1.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620028
RPSNMLRLQHJGFAG88CB,季寶段,1.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620029
RPSNMLRLQHJGFAG88CB,季寶段,.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620038
RPSNMLRLQHJGFAG88CB,季寶段,.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620018
RPSNMLRLQHJGFAG88CB,季寶段,.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06620019
RPPNMLTLQHJGFAG78CB,永愛段,55.37,都市：住,9,1,持分移轉,09300000
RPRNMLRLQHJGFBG88CB,美城段,8.78,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,266,持分移轉,05840000
RPRNMLRLQHJGFBG88CB,美城段,24.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,266,持分移轉,05840001
RPRNMLRLQHJGFBG88CB,美城段,40.72,非都市：特定農業區 ; 非都市編定：農牧用地,10000,390,持分移轉,05850000
RPQNMLRLQHJGFBG78CB,新張段,43.11,非都市：特定農業區 ; 非都市編定：甲種建築用地,182233,4311,持分移轉,07190000
RPTNMLTLQHJGFAG56CB,保昌段,46.62,都市：住,100000,1281,持分移轉,00010001
RPUNMLTLQHJGFAG66CB,保昌段,46.62,都市：住,100000,1281,持分移轉,00010001
RPSNMLRLQHJGFBG98CB,三民一段,64.83,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03860017
RPSNMLRLQHJGFBG98CB,三民一段,15.02,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03860018
RPSNMLRLQHJGFBG98CB,三民一段,1.01,非都市：特定農業區 ; 非都市編定：甲種建築用地,54,1,持分移轉,03860112
RPSNMLRLQHJGFBG98CB,三民一段,1.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,36,1,持分移轉,03860111
RPSNMLRLQHJGFBG98CB,三民一段,.14,非都市：特定農業區 ; 非都市編定：甲種建築用地,54,1,持分移轉,03930001
RPSNMLRLQHJGFBG98CB,三民一段,23.97,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2820,持分移轉,04030000
RPPNMLMJRHJGFAG97CB,新隆恩段,50.43,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04010022
RPPNMLMJRHJGFAG97CB,新隆恩段,21.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04010021
RPPNMLMJRHJGFAG97CB,新隆恩段,.74,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,5555,持分移轉,04010018
RPPNMLMJRHJGFAG97CB,新隆恩段,31.84,非都市：特定農業區 ; 非都市編定：農牧用地,100000,5555,持分移轉,03610002
RPQNMLPKQHJGFBG48CB,茄苳林段,68.54,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03190006
RPQNMLPKQHJGFBG48CB,茄苳林段,41.71,非都市：特定農業區 ; 非都市編定：農牧用地,83547,4171,持分移轉,03210000
RPQNMLPKQHJGFBG48CB,茄苳林段,19.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03190015
RPXNMLNJRHJGFAG88CB,新大埔段,40.90,非都市：特定農業區 ; 非都市編定：甲種建築用地,20000,976,持分移轉,02890000
RPPNMLOJRHJGFAG18CB,新日興段,40.02,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1828,持分移轉,02380000
RPTNMLNJRHJGFAG48CB,北成段,20.29,都市：住,100000,968,持分移轉,00250000
