編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTKQHJGFDP27CB,光明段,28.17,都市：住,1000000,7581,持分移轉,02690000
RPSNMLMKQHJGFAP56CB,科加段,19.31,非都市：工業區 ; 非都市編定：丁種建築用地,10000,48,持分移轉,00060000
RPPNMLQKQHJGFCP86CB,漢北段,125.44,都市：住,1,1,全筆移轉,04220027
RPSNMLMKQHJGFAP56CB,科加段,1.89,非都市：工業區 ; 非都市編定：丁種建築用地,100000,386,持分移轉,00060002
RPPNMLQKQHJGFCP86CB,漢北段,6.72,都市：住,69,1,持分移轉,03630003
RPPNMLQKQHJGFCP86CB,漢北段,7.07,都市：住,69,1,持分移轉,04220003
RPPNMLQKQHJGFCP86CB,漢北段,3.97,都市：住,69,1,持分移轉,06940003
RPPNMLQKQHJGFCP86CB,漢北段,5.28,都市：其他:道路用地,69,1,持分移轉,03650000
RPPNMLQKQHJGFCP86CB,漢北段,5.25,都市：其他:道路用地,69,1,持分移轉,04210000
RPPNMLQKQHJGFCP86CB,漢北段,2.05,都市：其他:道路用地,69,1,持分移轉,03820000
RPPNMLQKQHJGFCP86CB,漢北段,.16,都市：其他:道路用地,129,1,持分移轉,03700000
RPPNMLQKQHJGFCP86CB,漢北段,.07,都市：住,69,1,持分移轉,04220029
RPPNMLQKQHJGFCP86CB,漢北段,.15,都市：住,69,1,持分移轉,06940018
RPQNMLKLQHJGFAP88CB,雲林溪段,11.84,都市：商,202785,1184,持分移轉,01590000
RPPNMLNKQHJGFAP98CB,咬狗庄段,3.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,14813,346,持分移轉,05210000
RPPNMLNKQHJGFAP98CB,咬狗庄段,12.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,160423,1221,持分移轉,05220000
RPRNMLMKQHJGFAP09CB,石榴段,84.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12670004
RPRNMLMKQHJGFAP09CB,石榴段,6.56,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12670016
RPRNMLMKQHJGFAP09CB,石榴段,.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,355912,170,持分移轉,12800000
RPRNMLMKQHJGFAP09CB,石榴段,2.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,33048,513,持分移轉,12810000
RPRNMLMKQHJGFAP09CB,石榴段,1.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1836,49,持分移轉,13010004
RPRNMLMKQHJGFAP09CB,石榴段,9.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,13,1,持分移轉,12670011
RPPNMLKLQHJGFAP78CB,科加段,34.60,非都市：工業區 ; 非都市編定：丁種建築用地,10000,86,持分移轉,00060000
RPPNMLKLQHJGFAP78CB,科加段,3.36,非都市：工業區 ; 非都市編定：丁種建築用地,100000,686,持分移轉,00060002
RPTNMLMKQHJGFAP66CB,科加段,23.34,非都市：工業區 ; 非都市編定：丁種建築用地,10000,58,持分移轉,00060000
RPTNMLMKQHJGFAP66CB,科加段,2.27,非都市：工業區 ; 非都市編定：丁種建築用地,100000,463,持分移轉,00060002
RPPNMLKLQHJGFBP88CB,僑真段,.32,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,850,持分移轉,07740001
RPPNMLKLQHJGFBP88CB,僑真段,1.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,849,持分移轉,07790001
RPPNMLKLQHJGFBP88CB,僑真段,29.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,849,持分移轉,07790000
RPPNMLTKQHJGFFP47CB,橋頭段,15.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,736,持分移轉,12360000
RPPNMLTKQHJGFFP47CB,橋頭段,.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,736,持分移轉,12360011
RPPNMLTKQHJGFFP47CB,橋頭段,4.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,106200,493,持分移轉,12360007
RPPNMLTKQHJGFFP57DB,橋頭段,15.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,736,持分移轉,12360000
RPPNMLTKQHJGFFP57DB,橋頭段,.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,736,持分移轉,12360011
RPPNMLTKQHJGFFP57DB,橋頭段,4.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,106200,493,持分移轉,12360007
RPPNMLLLQHJGFAP88CB,北環段,11.07,都市：商,10000,38,持分移轉,02310000
RPRNMLLLQHJGFAP09CB,北環段,13.11,都市：商,10000,45,持分移轉,02310000
RPQNMLRLQHJGFAP96CB,北環段,13.11,都市：商,10000,45,持分移轉,02310000
RPPNMLMLQHJGFDP66CB,菜園段,20.65,都市：住,10000,170,持分移轉,08820035
RPRNMLQLQHJGFAP96CB,大美段,13.35,非都市：一般農業區 ; 非都市編定：甲種建築用地,40701,1335,持分移轉,02110001
RPRNMLQLQHJGFAP96CB,大美段,7.55,非都市：一般農業區 ; 非都市編定：甲種建築用地,21389,755,持分移轉,02110002
RPQNMLLLQHJGFAP98CB,北環段,11.07,都市：商,10000,38,持分移轉,02310000
RPPNMLRLQHJGFDP17CB,菜園段,20.16,都市：住,10000,166,持分移轉,08820035
RPVNMLQLQHJGFAP37CB,八德段,43.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,704,持分移轉,08110001
RPPNMLRLQHJGFAP86CB,北環段,9.61,都市：商,10000,33,持分移轉,02310000
RPPNMLKMQHJGFDP56CB,五福段,21.11,都市：住,10000,138,持分移轉,03100000
RPQNMLKMQHJGFDP66CB,興南段,31.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,218,持分移轉,01750000
RPQNMLNJRHJGFAP09CB,虎溪段,30.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1312,持分移轉,15560000
RPUNMLNLQHJGFAP96CB,龍潭段,108.80,都市：農,1,1,全筆移轉,03230019
RPUNMLNLQHJGFAP96CB,龍潭段,28.81,都市：農,27,1,持分移轉,03230027
RPPNMLMJRHJGFCP09CB,頂湳段,72.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,228300,7289,持分移轉,02280000
RPVNMLNLQHJGFAP07CB,龍潭段,123.97,都市：農,1,1,全筆移轉,03230020
RPVNMLNLQHJGFAP07CB,龍潭段,28.81,都市：農,27,1,持分移轉,03230027
RPPNMLNJRHJGFEP86DB,王厝段,77.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02500003
RPPNMLNJRHJGFEP86DB,王厝段,28.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,40122,7750,持分移轉,02500005
RPPNMLNJRHJGFAP98CB,虎溪段,30.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1312,持分移轉,15560000
RPPNMLNJRHJGFDP66CB,新吉段,19.29,都市：住,100000,840,持分移轉,00760000
RPPNMLNJRHJGFDP66CB,新吉段,1.75,都市：住,100000,411,持分移轉,00790001
RPPNMLOLQHJGFAP66DB,海豐崙段朱丹灣小段,68.00,都市：住,1,1,全筆移轉,00050144
RPPNMLOLQHJGFAP66DB,海豐崙段朱丹灣小段,2.47,都市：住,32,1,持分移轉,00070044
RPPNMLOLQHJGFAP66DB,海豐崙段朱丹灣小段,.16,都市：住,32,1,持分移轉,00050151
RPPNMLOLQHJGFAP66DB,海豐崙段朱丹灣小段,1.25,都市：住,16,1,持分移轉,00050150
RPPNMLOLQHJGFAP66DB,海豐崙段朱丹灣小段,4.69,都市：住,16,1,持分移轉,00050153
RPPNMLOLQHJGFAP66DB,海豐崙段朱丹灣小段,3.25,都市：住,16,1,持分移轉,00050159
RPPNMLOLQHJGFAP66DB,海豐崙段朱丹灣小段,24.71,都市：住,7,1,持分移轉,00050158
RPPNMLOJRHJGFAP09CB,海豐崙段海豐崙小段,18.43,都市：住,1000000,4758,持分移轉,04110009
RPPNMLOJRHJGFAP09CB,海豐崙段海豐崙小段,5.08,都市：住,1000000,4758,持分移轉,04110010
RPPNMLOLQHJGFBP76DB,新光段,8.87,都市：住,100000,1688,持分移轉,05570000
RPPNMLOLQHJGFBP76DB,新光段,.74,都市：住,100000,1688,持分移轉,05570001
RPPNMLOJRHJGFAP09CB,海豐崙段海豐崙小段,2.05,都市：住,1000000,4758,持分移轉,04110079
RPPNMLOLQHJGFBP76DB,新光段,17.55,都市：住,100000,1688,持分移轉,05210000
RPPNMLOLQHJGFBP76DB,新光段,1.83,都市：住,100000,1688,持分移轉,05220000
RPPNMLOJRHJGFAP09CB,海豐崙段海豐崙小段,.41,都市：住,1000000,4758,持分移轉,04110107
RPPNMLSLQHJGFAP07DB,北環段,23.26,都市：住,10000,100,持分移轉,02400000
RPQNMLQLQHJGFAP86CB,咬狗庄段,3.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,14813,346,持分移轉,05210000
RPQNMLQLQHJGFAP86CB,咬狗庄段,12.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,160423,1221,持分移轉,05220000
RPRNMLNJRHJGFDP86CB,馬公厝段,26.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,168300,2602,持分移轉,05450022
RPQNMLNJRHJGFDP76CB,馬公厝段,26.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,168300,2602,持分移轉,05450022
RPSNMLNJRHJGFDP96CB,馬公厝段,95.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05450018
RPVNMLOJRHJGFAP07CB,北環段,15.15,都市：商,10000,52,持分移轉,02310000
RPTNMLOJRHJGFAP86CB,海豐崙段海豐崙小段,19.15,都市：住,1000000,4944,持分移轉,04110009
RPTNMLOJRHJGFAP86CB,海豐崙段海豐崙小段,5.28,都市：住,1000000,4944,持分移轉,04110010
RPTNMLOJRHJGFAP86CB,海豐崙段海豐崙小段,2.13,都市：住,1000000,4944,持分移轉,04110079
RPTNMLOJRHJGFAP86CB,海豐崙段海豐崙小段,.43,都市：住,1000000,4944,持分移轉,04110107
RPQNMLOJRHJGFAP56CB,海豐崙段海豐崙小段,18.70,都市：住,1000000,4828,持分移轉,04110009
RPQNMLOJRHJGFAP56CB,海豐崙段海豐崙小段,5.15,都市：住,1000000,4828,持分移轉,04110010
RPQNMLOJRHJGFAP56CB,海豐崙段海豐崙小段,2.08,都市：住,1000000,4828,持分移轉,04110079
RPQNMLOJRHJGFAP56CB,海豐崙段海豐崙小段,.42,都市：住,1000000,4828,持分移轉,04110107
RPSNMLPJRHJGFAP86CB,石榴段,62.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11620004
RPSNMLPJRHJGFAP86CB,石榴段,.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,355912,170,持分移轉,12800000
RPSNMLPJRHJGFAP86CB,石榴段,2.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,33048,513,持分移轉,12810000
RPSNMLPJRHJGFAP86CB,石榴段,1.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1836,49,持分移轉,13010004
RPSNMLPJRHJGFAP86CB,石榴段,.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,273,1,持分移轉,12670011
RPSNMLPJRHJGFAP86CB,石榴段,39.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,78,5,持分移轉,11620015
RPSNMLPJRHJGFAP86CB,石榴段,2.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,13,1,持分移轉,11620014
RPSNMLPJRHJGFAP86CB,石榴段,4.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,72,5,持分移轉,11620001
RPQNMLPJRHJGFAP66CB,石榴段,83.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12670003
RPQNMLPJRHJGFAP66CB,石榴段,6.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12670015
RPQNMLPJRHJGFAP66CB,石榴段,.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,355912,170,持分移轉,12800000
RPQNMLPJRHJGFAP66CB,石榴段,2.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,33048,513,持分移轉,12810000
RPQNMLPJRHJGFAP66CB,石榴段,1.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1836,49,持分移轉,13010004
RPQNMLPJRHJGFAP66CB,石榴段,9.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,13,1,持分移轉,12670011
RPWNMLOJRHJGFAP17CB,北環段,9.61,都市：商,10000,33,持分移轉,02310000
RPUNMLOJRHJGFAP96CB,海豐崙段海豐崙小段,13.97,都市：住,1000000,3608,持分移轉,04110009
RPUNMLOJRHJGFAP96CB,海豐崙段海豐崙小段,3.85,都市：住,1000000,3608,持分移轉,04110010
RPUNMLOJRHJGFAP96CB,海豐崙段海豐崙小段,1.56,都市：住,1000000,3608,持分移轉,04110079
RPUNMLOJRHJGFAP96CB,海豐崙段海豐崙小段,.31,都市：住,1000000,3608,持分移轉,04110107
RPRNMLPJRHJGFAP76CB,石榴段,82.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12670002
RPRNMLPJRHJGFAP76CB,石榴段,6.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12670014
RPRNMLPJRHJGFAP76CB,石榴段,.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,355912,170,持分移轉,12800000
RPRNMLPJRHJGFAP76CB,石榴段,2.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,33048,513,持分移轉,12810000
RPRNMLPJRHJGFAP76CB,石榴段,1.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1836,49,持分移轉,13010004
RPRNMLPJRHJGFAP76CB,石榴段,9.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,13,1,持分移轉,12670011
RPRNMLOJRHJGFAP66CB,海豐崙段海豐崙小段,13.97,都市：住,1000000,3608,持分移轉,04110009
RPRNMLOJRHJGFAP66CB,海豐崙段海豐崙小段,3.85,都市：住,1000000,3608,持分移轉,04110010
RPRNMLOJRHJGFAP66CB,海豐崙段海豐崙小段,1.56,都市：住,1000000,3608,持分移轉,04110079
RPRNMLOJRHJGFAP66CB,海豐崙段海豐崙小段,.31,都市：住,1000000,3608,持分移轉,04110107
RPQNMLPJRHJGFDP96CB,菜園段,20.16,都市：住,10000,166,持分移轉,08820035
RPRNMLPJRHJGFDP07CB,菜園段,20.16,都市：住,10000,166,持分移轉,08820035
RPPNMLPJRHJGFEP96CB,新東段,108.65,都市：住,10865,10865,全筆移轉,00050016
RPSNMLOJRHJGFAP76CB,海豐崙段海豐崙小段,19.54,都市：住,1000000,5046,持分移轉,04110009
RPSNMLOJRHJGFAP76CB,海豐崙段海豐崙小段,5.38,都市：住,1000000,5046,持分移轉,04110010
RPSNMLOJRHJGFAP76CB,海豐崙段海豐崙小段,2.17,都市：住,1000000,5046,持分移轉,04110079
RPSNMLOJRHJGFAP76CB,海豐崙段海豐崙小段,.43,都市：住,1000000,5046,持分移轉,04110107
RPPNMLPJRHJGFDP86CB,菜園段,32.67,都市：住,10000,269,持分移轉,08820035
RPXNMLOJRHJGFAP27CB,雲林溪段,11.74,都市：商,202785,1174,持分移轉,01590000
RPPNMLQJRHJGFBP76CB,僑真段,.42,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1113,持分移轉,07740001
RPPNMLQJRHJGFBP76CB,僑真段,2.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1105,持分移轉,07790001
RPPNMLQJRHJGFBP76CB,僑真段,38.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1109,持分移轉,07790000
RPSNMLKKRHJGFCP66CB,頂湳段,34.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,228300,3407,持分移轉,02280000
RPPNMLTJRHJGFDP27CB,大荖段,61.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,88900,6130,持分移轉,20230003
RPPNMLSJRHJGFCP07CB,漢北段,129.20,都市：住,1,1,全筆移轉,03630005
RPPNMLSJRHJGFCP07CB,漢北段,6.72,都市：住,69,1,持分移轉,03630003
RPPNMLSJRHJGFCP07CB,漢北段,7.07,都市：住,69,1,持分移轉,04220003
RPPNMLSJRHJGFCP07CB,漢北段,3.97,都市：住,69,1,持分移轉,06940003
RPPNMLSJRHJGFCP07CB,漢北段,5.28,都市：其他:道路用地,69,1,持分移轉,03650000
RPPNMLSJRHJGFCP07CB,漢北段,5.25,都市：其他:道路用地,69,1,持分移轉,04210000
RPPNMLSJRHJGFCP07CB,漢北段,2.05,都市：其他:道路用地,69,1,持分移轉,03820000
RPPNMLSJRHJGFCP07CB,漢北段,12.91,都市：其他:道路用地,3496,1291,持分移轉,03620000
RPPNMLSJRHJGFCP07CB,漢北段,.16,都市：其他:道路用地,129,1,持分移轉,03700000
RPPNMLSJRHJGFCP07CB,漢北段,.07,都市：住,69,1,持分移轉,04220029
RPPNMLSJRHJGFCP07CB,漢北段,.15,都市：住,69,1,持分移轉,06940018
RPQNMLQJRHJGFBP86CB,僑真段,.32,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,850,持分移轉,07740001
