編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTOMLLKKHOFFAE08CC,龍華段四小段,.00,都市：住,,,,06180000
RPUNMLLKKHOFFBE18CC,五權段,23.47,都市：商,,,,04960004
RPWNMLLKKHOFFAE28CC,府北段五小段,13.66,都市：商,,,,01470000
RPQOMLLKKHOFFAE77CC,北金段,15.57,都市：住,,,,03560000
RPSOMLLKKHOFFEE38CC,新庄段三小段,.00,都市：住,,,,03900000
RPUOMLLKKHOFFEE58CC,新庄段五小段,19.05,都市：住,,,,10980000
RPWOMLLKKHOFFEE78CC,新庄段十三小段,6.70,都市：商,,,,14450000
RPRPMLLKKHOFFEE38CC,新庄段十二小段,10.52,都市：住,,,,12360000
RPTPMLLKKHOFFEE58CC,新福段九小段,16.19,都市：商,,,,00060000
RPTOMLLKKHOFFGE68CC,文英段,24.19,都市：住,,,,11210000
RPSNMLLKKHOFFJE78CC,天福段,495.87,都市：工,,,,10180000
RPUOMLMKKHOFFDE68DC,覆鼎金段覆鼎金一小段,18.44,都市：住,,,,07360000
RPTNMLMKKHOFFFE58CC,橋南段,48.00,都市：住,,,,10090005
RPQNMLLKKHOFFFE28DC,典寶段,99.71,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,05680000
RPROMLMKKHOFFFE48CC,大全段,147.00,都市：商,,,,13490000
RPWNMLMKKHOFFBE48CC,五塊厝段,.00,都市：商,,,,18360001
RPXNMLMKKHOFFAE48CC,內惟段二小段,129.00,都市：住,,,,02730000
RPPOMLMKKHOFFAE77CC,龍華段三小段,76.00,都市：住,,,,09510006
RPQOMLMKKHOFFDE18CC,大港段六小段,.00,都市：其他:市場用地,,,,06370112
RPWNMLMKKHOFFDE68CC,大港段三小段,84.00,都市：住,,,,07300000
RPWOMLMKKHOFFAE48CC,龍華段四小段,.00,都市：住,,,,06180000
RPOOMLMKKHOFFAE67CC,北金段,.00,都市：商,,,,09250000
RPPOMLMKKHOFFDE08CC,灣復段,.00,都市：商,,,,05460000
RPTOMLMKKHOFFDE48CC,獅頭段,.00,都市：商,,,,22170000
RPSNMLNKKHOFFDE38CC,澄清段二小段,.00,都市：住,,,,00540000
RPVNMLNKKHOFFDE68CC,覆鼎金段覆鼎金一小段,.00,都市：住,,,,06280009
RPQOMLMKKHOFFIE68CC,仁雄段,155.28,都市：住,,,,05900001
RPTNMLNKKHOFFAE18CC,前金段,.00,都市：商,,,,00860005
RPXNMLNKKHOFFCE78CC,愛群段,26.11,都市：商,,,,07180000
RPVNMLNKKHOFFCE58CC,愛群段,.00,都市：商,,,,10810000
RPPOMLNKKHOFFAE87CC,博孝段,72.00,都市：商,,,,07120000
RPOOMLNKKHOFFAE77CC,博孝段,72.00,都市：商,,,,07120000
RPSNMLNKKHOFFAE08CC,興福段,.00,都市：住,,,,02010000
RPQOMLNKKHOFFAE97CC,博孝段,71.00,都市：商,,,,07110000
RPROMLNKKHOFFAE08CC,博孝段,71.00,都市：商,,,,07110000
RPTNMLNKKHOFFBE28CC,意誠段,.00,都市：商,,,,01990000
RPXNMLNKKHOFFBE68CC,意誠段,.00,都市：商,,,,01990000
RPUNMLNKKHOFFBE38CC,苓東段,13.29,都市：商,,,,02760000
RPOOMLNKKHOFFBE87CC,意誠段,.00,都市：商,,,,01990000
RPVNMLNKKHOFFBE48CC,正憲段,.00,都市：商,,,,00330000
RPQOMLNKKHOFFBE08CC,新興段二小段,.00,都市：商,,,,14590000
RPROMLNKKHOFFBE18CC,新興段二小段,.00,都市：商,,,,14590000
RPWNMLNKKHOFFIE66CC,北屋段,.00,都市：住,,,,06220000
RPOPMLNKKHOFFEE28CC,清楠段,.00,都市：住,,,,04040000
RPTPMLNKKHOFFEE78CC,楠梓段五小段,.00,都市：住,,,,11860000
